#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_britannia;Britannia;;;;;;;;;;;;;x
e_britannia_adj;British;;;;;;;;;;;;;x
e_aengland;Ænglaland;;;;;;;;;;;;;x
e_aengland_adj;Ænglish;;;;;;;;;;;;;x
e_ireland;Éire;;;;;;;;;;;;;x
e_ireland_adj;Éireann;;;;;;;;;;;;;x
e_ulaid;Ulaidh;;;;;;;;;;;;;x
e_ulaid_adj;Cruithne;;;;;;;;;;;;;x
e_leinster;Laighin;;;;;;;;;;;;;x
e_leinster_adj;Leinstermen;;;;;;;;;;;;;x
e_gaul;Gallic Empire;;;;;;;;;;;;;x
e_gaul_adj;Roman;;;;;;;;;;;;;x
e_hispania;Hispanic Empire;;;;;;;;;;;;;x
e_hispania_adj;Roman;;;;;;;;;;;;;x
e_visigoths;Visigothic Empire;;;;;;;;;;;;;x
e_visigoths_adj;Visigothic;;;;;;;;;;;;;x
e_franks;Francia;;;;;;;;;;;;;x
e_franks_adj;Frankish;;;;;;;;;;;;;x
e_alba;Alba;;;;;;;;;;;;;x
e_alba_adj;Albann;;;;;;;;;;;;;x
e_cymru;Cymru;;;;;;;;;;;;;x
e_cymru_adj;Cymry;;;;;;;;;;;;;x
e_hen_ogledd;Hen Ogledd;;;;;;;;;;;;;x
e_hen_ogledd_adj;Cumbric;;;;;;;;;;;;;x
e_armorica;Armorica;;;;;;;;;;;;;x
e_armorica_adj;Armorican;;;;;;;;;;;;;x
e_aquitania;Akitania;;;;;;;;;;;;;x
e_aquitania_adj;Aquitanian;;;;;;;;;;;;;x
e_western_roman_empire;Western Roman Empire;;;;;;;;;;;;;x
e_western_roman_empire_adj;Roman;;;;;;;;;;;;;x
e_eastern_roman_empire;Eastern Roman Empire;;;;;;;;;;;;;x
e_eastern_roman_empire_adj;Roman;;;;;;;;;;;;;x
e_roman_britannia;Britannic Empire;;;;;;;;;;;;;x
e_roman_britannia_adj;Roman;;;;;;;;;;;;;x
e_danes;The Danes;;;;;;;;;;;;;x
e_danes_adj;Danish;;;;;;;;;;;;;x
e_germania;Germania;;;;;;;;;;;;;x
e_germania_adj;Germanic;;;;;;;;;;;;;x
e_denmark;Denmark;;;;;;;;;;;;;x
e_denmark_adj;Danish;;;;;;;;;;;;;x
e_norway;Norway;;;;;;;;;;;;;x
e_norway_adj;Norwegian;;;;;;;;;;;;;x
e_sweden;Svealand;;;;;;;;;;;;;x
e_sweden_adj;Swedish;;;;;;;;;;;;;x
e_geatland;Gautland;;;;;;;;;;;;;x
e_geatland_adj;Geatish;;;;;;;;;;;;;x
e_scandinavia;Norrœnland;;;;;;;;;;;;x
e_scandinavia_adj;Norse;;;;;;;;;;;;;x
k_nuncio_britanniae;Ecclesia Britanniæ;;;;;;;;;;;;;x
k_tara;Tara;;;;;;;;;;;;;x
k_tara_adj;Éireann;;;;;;;;;;;;;x
k_dumnonia;Dumnonia;;;;;;;;;;;;;x
k_dumnonia_adj;Dumnonian;;;;;;;;;;;;;x
k_belgae;Gwinntguic;;;;;;;;;;;;;x
k_belgae_adj;Belgic;;;;;;;;;;;;;x
k_gwent;Ewyas;;;;;;;;;;;;;x
k_gwent_adj;Gwentish;;;;;;;;;;;;;x
k_lindum;Lindum;;;;;;;;;;;;;x
k_powys;Powys;;;;;;;;;;;;;x
k_powys_adj;Powysian;;;;;;;;;;;;;x
k_kernow;Kernow;;;;;;;;;;;;;x
k_kernow_adj;Kernowish;;;;;;;;;;;;;x
k_siluria;Siluria;;;;;;;;;;;;;x
k_siluria_adj;Silurian;;;;;;;;;;;;;x
k_gwynedd;Gwynedd;;;;;;;;;;;;;x
k_henis_wyren;Henis Wyren;;;;;;;;;;;;;x
k_elmet;Elmet;;;;;;;;;;;;;x
k_elmet_adj;Elmetian;;;;;;;;;;;;;x
k_rheged;Rheged;;;;;;;;;;;;;x
k_rheged_adj;Rhegedian;;;;;;;;;;;;;x
k_ebrauc;Ebrauc;;;;;;;;;;;;;x
k_pennines;The Pennines;;;;;;;;;;;;;x
k_pennines_adj;Penninic;;;;;;;;;;;;;x
k_icenia;Icenia;;;;;;;;;;;;;x
k_icenia_adj;Icenian;;;;;;;;;;;;;x
k_cantuaria;Cantuaria;;;;;;;;;;;;;x
k_cantuaria_adj;Cantuarian;;;;;;;;;;;;;x
k_londinium;Londinium;;;;;;;;;;;;;x
k_bryneich;Bryneich;;;;;;;;;;;;;x
k_strathclyde;Ystrad Clud;;;;;;;;;;;;;x
k_strathclyde_adj;Ystrad Cludian;;;;;;;;;;;;;x
k_lothian;Lleuddiniawn;;;;;;;;;;;;;x
k_dalriada;Dàlríada;;;;;;;;;;;;;x
k_dalriada_adj;Dàlríadan;;;;;;;;;;;;;x
k_caledonia;Pictavia;;;;;;;;;;;;;x
k_caledonia_adj;Pictish;;;;;;;;;;;;;x
k_ynys_man;Man;;;;;;;;;;;;;x
k_ynys_man_adj;Manx;;;;;;;;;;;;;x
k_lleyn;Lleyn;;;;;;;;;;;;;x
k_glevum;Guenet;;;;;;;;;;;;;x
k_demetia;Demetia;;;;;;;;;;;;;x
k_demetia_adj;Demetian;;;;;;;;;;;;;x
k_cynwidion;Cynwidion;;;;;;;;;;;;;x
k_cynwidion_adj;Catuvellauni;;;;;;;;;;;;;x
k_cantia;Cantia;;;;;;;;;;;;;x
k_cantia_adj;Cantian;;;;;;;;;;;;;x
k_anglia;Anglia;;;;;;;;;;;;;x
k_anglia_adj;Anglian;;;;;;;;;;;;;x
k_east_anglia;East Anglia;;;;;;;;;;;;;x
k_east_anglia_adj;East Anglian;;;;;;;;;;;;;x
k_mercia;Mercia;;;;;;;;;;;;;x
k_mercia_adj;Mercian;;;;;;;;;;;;;x
k_wessex;West Seaxe;;;;;;;;;;;;;x
k_wessex_adj;West Saxon;;;;;;;;;;;;;x
k_sussex;South Seaxe;;;;;;;;;;;;;x
k_sussex_adj;South Saxon;;;;;;;;;;;;;x
k_eastseaxe;East Seaxe;;;;;;;;;;;;;x
k_eastseaxe_adj;East Saxon;;;;;;;;;;;;;x
k_northumbria;Northumbria;;;;;;;;;;;;;x
k_northumbria_adj;Northumbrian;;;;;;;;;;;;;x
