##### BRITANNIA STORYLINE DECISIONS #####
return_to_dumnonia;Return to Dumnonia;;;;;;;;;;;;;x
return_to_dumnonia_desc;Your father, Uther, has died, leaving behind your infant nephew as King of Dumnonia. Having sworn an oath to protect his throne at all costs, it is your duty to return home and ensure the safety of the new king.;;;;;;;;;;;;;x
return_to_dumnonia_tooltip;Return to Dumnonia with your company of warriors to protect the realm.;;;;;;;;;;;;;x
##### DYNASTY DECISIONS #####
legitimize_arthur;Legitimize Arthur Pendragon;;;;;;;;;;;;;x
legitimize_arthur_desc;Legitimize your bastard son §Y[This.GetBestName]§!, making him primary heir to the throne.;;;;;;;;;;;;;x
##### EMPLOYMENT DECISIONS #####
employ_priest;Invite Priest to Court;;;;;;;;;;;;;x
employ_priest_desc;Scour the land for a priest to join your court and advise you on religious matters.;;;;;;;;;;;;;x
employ_priest_catholic;Invite Holy Man to Court;;;;;;;;;;;;;x
employ_priest_catholic_desc;Scour the land for a pious holy man to join your court and advise you on religious matters.;;;;;;;;;;;;;x
employ_druid;Invite Druid to Court;;;;;;;;;;;;;x
employ_druid_desc;Scour the land for a druid to join your court and advise you on religious matters.;;;;;;;;;;;;;x
employ_bard;Invite Bard to Court;;;;;;;;;;;;;x
employ_bard_desc;Scour the land for a bard to join your court and sing the praises of your dynasty.;;;;;;;;;;;;;x
employ_steward;Invite Steward to Court;;;;;;;;;;;;;x
employ_steward_desc;Invite a promising nobleman to court, to aid with matters of administration.;;;;;;;;;;;;;x
employ_chancellor;Invite Diplomat to Court;;;;;;;;;;;;;x
employ_chancellor_desc;Invite a skilled negotiator to court, to aid with diplomatic affairs.;;;;;;;;;;;;;x
employ_marshal;Invite Warrior to Court;;;;;;;;;;;;;x
employ_marshal_desc;Invite a veteran warrior to court, to help train your armies and develop your battle strategies.;;;;;;;;;;;;;x
employ_spymaster;Invite Intriguer to Court;;;;;;;;;;;;;x
employ_spymaster_desc;Scour the land for a master of the black arts to join your court and help run your spy network.;;;;;;;;;;;;;x
present_debutante;Invite Lady to Court;;;;;;;;;;;;;x
present_debutante_desc;Invite a young noblewoman to join your court.;;;;;;;;;;;;;x
##### CONVERSION DECISIONS #####
convert_to_roman_culture;Convert to Imperial Roman Culture;;;;;;;;;;;;;x
convert_to_roman_culture_desc;Abandon your current customs and adopt the highly civilized ways of the true imperial Roman culture.;;;;;;;;;;;;;x
convert_to_catholicism;Convert to Christianity;;;;;;;;;;;;;x
convert_to_catholicism_desc;Abandon your current faith and publicly embrace the Christian religion.;;;;;;;;;;;;;x
convert_to_catholicism_clovis;Convert to Christianity;;;;;;;;;;;;;x
convert_to_catholicism_clovis_desc;With Nicene influences all around your newly expanded realm, the power of paganism is weakening. The support of the Nicene church would be crucial to controlling our new Romano-Gallic vassals, and the persistence of your wife [Spouse.GetName] is indeed paying off. Perhaps it is time to embrace the Nicene religion...;;;;;;;;;;;;;x
convert_to_roman_religion;Convert to Hellenic Paganism;;;;;;;;;;;;;x
convert_to_roman_religion_desc;Abandon your current faith and publicly embrace the ancient Roman imperial religion.;;;;;;;;;;;;;x
convert_to_old_gods;Convert to Brythonic Paganism;;;;;;;;;;;;;x
convert_to_old_gods_desc;Abandon your current faith and publicly embrace the ancient druidic religion of Britain.;;;;;;;;;;;;;x
##### VASSAL DECISIONS #####
vassal_castrate_decision;Castrate [Root.GetTitledFirstName];;;;;;;;;;;;;x
vassal_castrate_decision_desc;As he is your prisoner, you may give the order to castrate [Root.GetTitledFirstName] and turn him into a eunuch. He will then be a free man, but unable to sire more spawn or hold landed titles. A severe punishment.;;;;;;;;;;;;;x
vassal_blinding_decision;Blind [Root.GetTitledFirstName];;;;;;;;;;;;;x
vassal_blinding_decision_desc;As [Root.GetSheHe] is your prisoner, you may give the order to permanently blind [Root.GetTitledFirstName] and then setting [Root.GetHerHim] free. This is a common way of dealing with political rivals without outright killing them, as a blind [Root.GetManWoman] is of little threat to the throne.;;;;;;;;;;;;;x
vassal_sacrifice_decision;Sacrifice [Root.GetTitledFirstName] to the Gods;;;;;;;;;;;;;x
vassal_sacrifice_decision_desc;As [Root.GetSheHe] is your prisoner, you may give the order to offer [Root.GetTitledFirstName] in sacrifice to the Gods during a sacred pagan ritual.;;;;;;;;;;;;;x
