pagan_group;Pagan;;;;;;;;;;;x
briton_pagan;Brythonic;;;;;;;;;;;x
briton_pagan_DESC;The Druidic pagan faith of the Britons is an animistic faith, affirming belief in a pantheon of Gods including Bel, Gwydion, Taranis, and Manawydan. Members of the priestly class are known as the Druids, and are responsible for organising rituals, sacrifices, divination, and judicial procedures.;;;;;;;;;;;x
briton_pagan_FEATURES;§Y*§! Inferior at conversion [This.GetPaganReligionCulturalRestriction];;;;;;;;;;;x
briton_pagan_reformed;Brythonic;;;;;;;;;;;x
briton_pagan_reformed_DESC;The Reformed Druidic faith of the Britons is an animistic faith, affirming belief in a pantheon of Gods including Bel, Gwydion, Taranis, and Manawydan. Members of the priestly class are known as the Druids, and are responsible for organising rituals, sacrifices, divination, and judicial procedures.;;;;;;;;;;;x
briton_pagan_reformed_FEATURES;§Y*§! Inferior at conversion [This.GetPaganReligionCulturalRestriction]\n§Y*§! The Archdruidship is held by a secular ruler, whose succession rotates around landed druids chosen by their suitability, and can cease to exist;;;;;;;;;;;x
gael_pagan;Gaelic;;;;;;;;;;;x
gael_pagan_DESC;Gaelic Paganism is the animistic belief system adhered to by the Celtic peoples of Ireland and later Scotland. The Gaelic pantheon recognises a dualism between the male tribal god and the female deity of the land. The Gaels believe in an extinct series of supernatural rulers who left behind a tradition of magic and rulership.;;;;;;;;;;;x
gael_pagan_FEATURES;§Y*§! Can perform coastal raids anywhere\n§Y*§! Inferior at conversion and unable to convert non-Gaelic peoples;;;;;;;;;;;x
gael_pagan_reformed;Gaelic;;;;;;;;;;;x
gael_pagan_reformed_DESC;Reformed Gaelic Paganism is the reformed version of the animistic belief system adhered to by the Celtic peoples of Ireland and later Scotland. The Gaelic pantheon recognises a dualism between the male tribal god and the female deity of the land. The Gaels believe in an extinct series of supernatural rulers who left behind a tradition of magic and rulership.;;;;;;;;;;;x
gael_pagan_reformed_FEATURES;§Y*§! Can perform coastal raids anywhere\n§Y*§! Inferior at conversion [This.GetPaganReligionCulturalRestriction]\n§Y*§! The Archdruidship is held by a secular ruler, whose succession rotates around landed druids chosen by their suitability, and can cease to exist;;;;;;;;;;;x
pict_pagan;Pictish;;;;;;;;;;;x
pict_pagan_DESC;The polytheistic beliefs of the Picts is an animistic faith, affirming belief in a pantheon of Gods including Cailleach, Gruagach, Taranis, Seonaidh, Muireartach, Fionn and Sluagh as well as the belief in the spiritual and healing powers of the earth and the water. Pictish burial grounds were sited next to the holy springs of the highlands, and saw instances of ritual beheading, often of those defeated in battle.;;;;;;;;;;;x
pict_pagan_FEATURES;§Y*§! Can perform coastal raids anywhere\n§Y*§! Inferior at conversion and unable to convert non-Pictish peoples;;;;;;;;;;;x
pict_pagan_reformed;Pictish;;;;;;;;;;;x
pict_pagan_reformed_DESC;The polytheistic beliefs of the Picts is an animistic faith, affirming belief in a pantheon of Gods including Cailleach, Gruagach, Taranis, Seonaidh, Muireartach, Fionn and Sluagh as well as the belief in the spiritual and healing powers of the earth and the water. Pictish burial grounds were sited next to the holy springs of the highlands, and saw instances of ritual beheading, often of those defeated in battle.;;;;;;;;;;;x
pict_pagan_reformed_FEATURES;§Y*§! Can perform coastal raids anywhere\n§Y*§! Inferior at conversion [This.GetPaganReligionCulturalRestriction]\n§Y*§! The Archdruidship is held by a secular ruler, but succession rotates around landed druids chosen by their suitability, and can cease to exist;;;;;;;;;;;x
germanic_pagan;Anglo-Saxon;;;;;;;;;;;x
germanic_pagan_DESC;The ancient Anglo-Saxon belief system is a group of related cults and beliefs held by the Ingvaeonic tribes of the North Sea coast. A pantheon of gods under the wise warrior god Wodan rules all the branches of the worldtree, Yggdrasil. The other two main gods are Thunor, friend to mankind, and Yngvi, god of fertility.;;;;;;;;;;;x
germanic_pagan_FEATURES;§Y*§! Can perform coastal raids anywhere\n§Y*§! Inferior at conversion and unable to convert non-Ingnaevonic peoples;;;;;;;;;;;x
germanic_pagan_reformed;Anglo-Saxon;;;;;;;;;;;x
germanic_pagan_reformed_DESC;The Reformed Anglo-Saxon belief system is a group of related cults and beliefs held by the Ingvaeonic tribes of the North Sea coast. A pantheon of gods under the wise warrior god Wodan rules all the branches of the worldtree, Yggdrasil. The other two main gods are Thunor, friend to mankind, and Yngvi, god of fertility. The church has a standardized liturgy and a formal church hierarchy led by the Begíemend, who is both a secular ruler and the religious leader of the faithful.;;;;;;;;;;;x
germanic_pagan_reformed_FEATURES;§Y*§! Can perform coastal raids anywhere\n§Y*§! Inferior at conversion [This.GetPaganReligionCulturalRestriction];;;;;;;;;;;x
frankish_pagan;Frankish;;;;;;;;;;;x
