setting_random_scenario_byz;Roman Empire;;;;;;;;;;;;;x
setting_random_scenario_byz_tooltip;Generates a realm somewhere in the world based on a Roman usurper Empire. The realm will be large and centralized, with Viceroyalty laws in effect. The Emperor will start off with all De Jure Duchy titles, to be handed out as Viceroyalties.\n\n - Requires §Y'De Jure Kingdoms and Empires'§! be set to 'Random'.;;;;;;;;;;;;;x
ALT_BYZ;[target_ruler.Capital.Duchy.GetAdjective] Empire;;;;;;;;;;;;;x
ALT_BYZ_ADJ;[target_ruler.Capital.Duchy.GetAdjective];;;;;;;;;;;;;x
ALT_PELAGIAN;The [pelagian.GetName] Paparchy;;;;;;;;;;;;;x
ALT_PELAGIAN_ADJ;[pelagian.GetName] Paparchy;;;;;;;;;;;;;x
ALT_PRISCILLIAN;The [priscillian.GetName] Paparchy;;;;;;;;;;;;;x
ALT_PRISCILLIAN_ADJ;[priscillian.GetName] Paparchy;;;;;;;;;;;;;x
ALT_NESTORIAN;The [nestorian.GetName] Metropolitanate;;;;;;;;;;;;;x
ALT_NESTORIAN_ADJ;[nestorian.GetName] Metropolitanate;;;;;;;;;;;;;x
ALT_ARIAN;The [arian.GetName] Paparchy;;;;;;;;;;;;;x
ALT_ARIAN_ADJ;[arian.GetName] Paparchy;;;;;;;;;;;;;x
ALT_GNOSTIC;The [gnostic.GetName] Paparchy;;;;;;;;;;;;;x
ALT_GNOSTIC_ADJ;[gnostic.GetName] Paparchy;;;;;;;;;;;;;x
ALT_BRITON;The [briton_pagan_reformed.GetName] Archdruidship;;;;;;;;;;;;;x
ALT_BRITON_ADJ;[briton_pagan_reformed.GetName] Archdruidship;;;;;;;;;;;;;x
ALT_PICT;The [pict_pagan_reformed.GetName] Archdruidship;;;;;;;;;;;;;x
ALT_PICT_ADJ;[pict_pagan_reformed.GetName] Archdruidship;;;;;;;;;;;;;x
ALT_GAEL;The [gael_pagan_reformed.GetName] Archdruidship;;;;;;;;;;;;;x
ALT_GAEL_ADJ;[gael_pagan_reformed.GetName] Archdruidship;;;;;;;;;;;;;x
ALT_SOL_INVICTUS;The [sol_invictus.GetName] Pontificate;;;;;;;;;;;;;x
ALT_SOL_INVICTUS_ADJ;[sol_invictus.GetName] Pontificate;;;;;;;;;;;;;x
ALT_ALAN;The [alan_pagan_reformed.GetName] Temple;;;;;;;;;;;;;x
ALT_ALAN_ADJ;[alan_pagan_reformed.GetName] Temple;;;;;;;;;;;;;x
ALT_VASCONIC;The [vasconic_pagan_reformed.GetName] Temple;;;;;;;;;;;;;x
ALT_VASCONIC_ADJ;[vasconic_pagan_reformed.GetName] Temple;;;;;;;;;;;;;x
ALT_MERC_GUARD;[renaming_target.Culture.GetName] Guard;;;;;;;;;;;;;x
ALT_MERC_GUARD_ADJ;[renaming_target.Culture.GetName];;;;;;;;;;;;;x
ALT_MERC_RIDERS;[renaming_target.Culture.GetName] Riders;;;;;;;;;;;;;x
ALT_MERC_RIDERS_ADJ;[renaming_target.Culture.GetName];;;;;;;;;;;;;x
ALT_MERC_COHORS;Cohors de [renaming_target.Location.County.GetName];;;;;;;;;;;;;;x
ALT_MERC_COHORS_ADJ;[renaming_target.Location.County.GetAdjective];;;;;;;;;;;;;x
ALT_MERC_SPEARS;Spears of [renaming_target.Location.County.Kingdom.GetName];;;;;;;;;;;;;x
ALT_MERC_SPEARS_ADJ;[renaming_target.Location.County.Kingdom.GetAdjective];;;;;;;;;;;;;x
ALT_MERC_SWORDS;Swords of [renaming_target.Location.County.Kingdom.GetName];;;;;;;;;;;;;x
ALT_MERC_SWORDS_ADJ;[renaming_target.Location.County.Kingdom.GetAdjective];;;;;;;;;;;;;x
ALT_MERC_NAVY;[renaming_target.Culture.GetName]-[renaming_target.Location.County.GetAdjective] Sails;;;;;;;;;;;;;x
ALT_MERC_NAVY_ADJ;[renaming_target.Culture.GetName]-[renaming_target.Location.County.GetAdjective];;;;;;;;;;;;;x

