#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_1;While walking through a forest near my capital, I noticed a very strange powder under a tree. Upon further inspection I couldn't recognise what it was, so I decided to take it to my laboratory and run some experiments.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_1;I must know what this is.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_2;After a long walk back to my laboratory, safely keeping the powder in a bag, and preparing all my experiments, it's time to begin. For the first experiment, I'll be burning some of it.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_2;I hope nothing goes wrong.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_3;I put a little bit of the powder into a small stone tub, and heated a few blocks of wood. While the powder got hotter, it started glowing bright red, and a few grains started burning. The burning pattern wasn't special, but it doesn't seem to be of known material, which is good news.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_3;To the next experiment, mixing with water.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_4;The exact moment the powder started to heat, I was already able to recognise that it had nothing special, even worse, it seems that my powder was nothing but a weirdly coloured type of wood. How could I have missed that.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_4;This was useless...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVT_TLT_EDM_4;The powder is discarded.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_5;I got everything ready for my experiment. I put a few grains of the powder on some glowing hot wood. In the beginning, it seems that the powder seems mostly heat-resistant. But soon it starts glowing a combination of blue and yellow, and before I get the chance to take notes, the powder suddenly explodes, hitting me.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_5;I need to continue anyway!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB_EDM_5;This is far too dangerous.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_6;The next experiment is mixing the powder with normal spring water. I filtered the water with a cloth to make sure it is clean, and now it's time for the experiment to commence.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_6;Will it mix or not?;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_7;I got a tub with my clean water ready for the experiment and I sprinkle some of the powder on the water surface. At first nothing happens, and when I use a stick to mix the water and the powder, it simply mixes. After a few minutes the powder starts floating and separating from the water again.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_7;Seems quite... uninteresting.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_8;I scoop up some of the powder from its bag and submerge it in the water. The powder instantly starts reacting, dissolving in mere seconds. A large amount of gas is released and soon enough the water is back to its original state, clean and throughvisible. ;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_8;A most interesting reaction.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_9;I sprinkle some powder into a test tube filled with clean water, and get very disappointing results. The powder sinks like a stone in a pond, and how hard I try to mix it with the water by stirring and shaking, nothing happens at all.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_9;Seems quite... uninteresting.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_10;I sprinkle some of the strange powder into a tub filled with water. For a short while, the powder is on the bottom of the tub, with nothing happening. I am about to cancel the experiment when the powder suddenly starts to violently dissolve into a green gas, soon filling the entire laboratory. It didn't take long before I started to feel unwell and I stormed out of my laboratory.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_EDM_11;The next experiment is maybe a bit cruel, but for our collective knowledge I am willing to do this. I ordered my courtiers to find and catch a healthy rabbit. A few hours after they dispatched, they return with a rabbit in a cage. I am going to test my powder's toxicity on this rabbit.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_EDM_11;Sorry, dear rabbit...;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB_EDM_11;This was your destiny this whole time.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
