COMPL_QUICK;Quick;;;;;;;;;;;;;x
COMPL_GIANT;giant;;;;;;;;;;;;;x
COMPL_FLEET_FOOT;fleet foot;;;;;;;;;;;;;x
COMPL_SWIFT;swift;;;;;;;;;;;;;x
INSULT_TWINKLE_TOES;twinkle toes;;;;;;;;;;;;;x
INSULT_TWINKLE_TOED;twinkle toed;;;;;;;;;;;;;x
COMPL_SHARP;sharp;;;;;;;;;;;;;x
COMPL_HONEY_VOICE;honey-voiced;;;;;;;;;;;;;x
COMPL_MIGHTY_VOICE;mighty-voiced;;;;;;;;;;;;;x
INSULT_DOUBLE_HANDED;double-handed;;;;;;;;;;;;;x
INSULT_LEFT_HANDED;left handed;;;;;;;;;;;;;x
INSULT_LEFT_HANDED_FREAK;left handed freak;;;;;;;;;;;;;x
COMPL_DEFT;deft;;;;;;;;;;;;;x
INSULT_DROOLING;drooling;;;;;;;;;;;;;x
INSULT_DEAF;deaf;;;;;;;;;;;;;x
COMPL_DAYDREAMER;daydreamer;;;;;;;;;;;;;x
INSULT_CUCKOOHEAD;cuckoohead;;;;;;;;;;;;;x
INSULT_OBLIVIOUS;oblivious;;;;;;;;;;;;;x
COMPL_WELL_ENDOWED;well-endowed;;;;;;;;;;;;;x
INSULT_PHALLUS;phallus;;;;;;;;;;;;;x
INSULT_COCKY;cocky;;;;;;;;;;;;;x
INSULT_TITS;tits;;;;;;;;;;;;;x
COMPL_IMPOSING;imposing;;;;;;;;;;;;;x
INSULT_SCARY;scary;;;;;;;;;;;;;x
INSULT_CREEP;creep;;;;;;;;;;;;;x
INSULT_FLUENTGREEK;oriental-tongued;;;;;;;;;;;;;x
INSULT_FLUENTGREEKFEM;forked-tongue harpy;;;;;;;;;;;;;x
COMPL_FLUENTGREEK;many wiled;COMPL_FLUENTGREEK;;;;;;;;;;;;;x
COMPL_FLUENTGREEKFEM;learned;;;;;;;;;;;;;x
INSULT_ROMANITAS;child of Brutus;;;;;;;;;;;;;x
INSULT_ROMANITASFEM;Tiber-born shame;;;;;;;;;;;;;x
COMPL_ROMANITAS;learned Roman;;;;;;;;;;;;;x
COMPL_ROMANITASFEM;Roman matron;;;;;;;;;;;;;x
INSULT_BARBARIAN;unwashed barbarian;;;;;;;;;;;;;x
INSULT_BARBARIANFEM;barbarous whore;;;;;;;;;;;;;x
COMPL_BARBARIAN;noble savage;;;;;;;;;;;;;x
COMPL_BARBARIANFEM;savage maiden;;;;;;;;;;;;;x
INSULT_RECKLESS;reckless;;;;;;;;;;;;;x
COMPL_CAREFUL;careful;;;;;;;;;;;;;x
COMPL_SOOTHING;soothing;;;;;;;;;;;;;x
INSULT_QUIET;quiet;;;;;;;;;;;;;x
INSULT_NOISY;noisy;;;;;;;;;;;;;x
COMPL_CREATIVE;creative;;;;;;;;;;;;;x
COMPL_FALCONER;falconer;;;;;;;;;;;;;x
COMPL_FIERCE;fierce;;;;;;;;;;;;;x
INSULT_LACKBRAIN;lackbrain;;;;;;;;;;;;;x
INSULT_SNAIL;snail;;;;;;;;;;;;;x
COMPL_RELIABLE;reliable;;;;;;;;;;;;;x
INSULT_BACKSTABBER;backstabber;;;;;;;;;;;;;x
COMPL_HEROIC;heroic;;;;;;;;;;;;;x
COMPL_BATTLEHARDENED;battle-hardened;;;;;;;;;;;;;x
COMPL_WARRIOR;warrior;;;;;;;;;;;;;x
