#CODE;;;;;;;;;;;;;;x
LOADING_MAP_SPRITES;Preparing the Anglo-Saxon Ships...;;;;;;;;;;;;;;x
LOADING_GUI_DEF;Building Roman Roads...;;;;;;;;;;;;;;x
LOADING_DATABASES;Gathering the Thirteen Treasures...;;;;;;;;;;;;;;x
INIT_MAP_LOGIC;Crossing the Dividing Sea...;;;;;;;;;;;;;;x
CREATING_CHKSUM;Spreading Christianity...;;;;;;;;;;;;;;x
CALC_PATHS;Writing the Scroll of Caleddin...;;;;;;;;;;;;;;x
GENERATING_COAS;Worshipping Bel...;;;;;;;;;;;;;;x
LOADING_HISTORY;Collapsing the Roman Empire...;;;;;;;;;;;;;;x
LOAD_EVENTS;Learning Classical History...;;;;;;;;;;;;;;x
LOADING_SOUNDS;Summoning the Old Gods...;;;;;;;;;;;;;;x
PROC_FLAGS;Filling the Library of Ynys Trebes...;;;;;;;;;;;;;;x
LOAD_FLAGS;Receiving the Byzantine Heralds...;;;;;;;;;;;;;;x
LOAD_GFX;Drawing Maps of Britannia...;;;;;;;;;;;;;;x
CREATING_THE_WORLD;Landing the Anglo-Saxons...;;;;;;;;;;;;;;x
CREATING_TREES;Hiding the Thirteen Treasures...;;;;;;;;;;;;;;x
CREATING_BORDERS;Crossing the Forest of Arden...;;;;;;;;;;;;;;x
CREATING_RIVERS;Conquering the Saxon Shore...;;;;;;;;;;;;;;x
MAP_PROPERLY_INIT;Receiving Mediterranean Merchants...;;;;;;;;;;;;;;x
CREATING_PROVINCE;Summoning the Heralds...;;;;;;;;;;;;;;x
CREATING_TEXTS;Writing the Scroll of Caleddin...;;;;;;;;;;;;;;x
ADAPTING_HISTORY;Learning Ancient History of Britannia...;;;;;;;;;;;;;;x
LOAD_CITY;Building the Walls of Glevum...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_SHADERS;Gathering the High Council...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TERRAIN;Crossing the Dividing Sea...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_BORDERS;Celebrating Lughnasa...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TEXTURES;Filling the Library of Ynys Trebes...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TREES;Crossing the Forest of Arden...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_RIVERS;Landing at the Port of Halcwym...;;;;;;;;;;;;;;x
LOAD_GFX_PDXMAP_STATIC_OBJECTS;Gathering the High Council...;;;;;;;;;;;;;;x
LOAD_INIT;Training the Shield Wall...;;;;;;;;;;;;;;x
LOADING_TIP_0;“Once upon a time, in a land that was called Britain, these things happened.”;;;;;;;;;;;;;;x
