#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RETTYPE_ANGLOSAXONS_1;Fyrd;;;;;;;;;;;;;x
RETTYPE_ANGLOSAXONS_2;Gedriht;;;;;;;;;;;;;x
RETTYPE_ANGLOSAXONS_3;Huscarls;;;;;;;;;;;;;x
RETTYPE_ANGLOSAXONS_4;Weards;;;;;;;;;;;;;x
RETTYPE_ROMAN;Roman Trained Cohort;;;;;;;;;;;;;x
RETTYPE_ROMAN_EQUI;Roman Equites;;;;;;;;;;;;;x
RETTYPE_ROMAN_SAGITTARII;Roman Sagittarii;;;;;;;;;;;;;x
RETTYPE_ROMAN_VELITES;Roman Velites;;;;;;;;;;;;;x
RETTYPE_ROMAN_ADV;Roman Elite Cohort;;;;;;;;;;;;;x
RETTYPE_ROMAN_CATAPHRACTS;Roman Cataphractarii;;;;;;;;;;;;;x
RETTYPE_EASTERN_HORSE_ARCHERS;Sarmatæ Horsemen;;;;;;;;;;;;;x
RETTYPE_FRANKISH_INF;Frankish Warriors;;;;;;;;;;;;;x
RETTYPE_FRANKISH_CAV;Frankish Cavalry;;;;;;;;;;;;;x
RETTYPE_MOUNTAIN_ARCHERS;Mountain Archers;;;;;;;;;;;;;x
RETTYPE_CUMBRIAN;Cumbric Horsemen;;;;;;;;;;;;;x
RETTYPE_BRITON;British Spearmen;;;;;;;;;;;;;x
RETTYPE_IRISHSPEARS;Irish Spearmen;;;;;;;;;;;;;x
RETTYPE_OLDIRISH;Gallóglaigh;;;;;;;;;;;;;x
RETTYPE_HIGHLANDERS;Highlanders;;;;;;;;;;;;;x
RETTYPE_PICTISH_WARRIORS;Pictish Warriors;;;;;;;;;;;;;x
RETTYPE_PICTISH_RAIDERS;Pictish Raiders;;;;;;;;;;;;;x
RETTYPE_PICTISH_HORSEMEN;Pictish Horsemen;;;;;;;;;;;;;x
RETTYPE_ARMORICAN;Armorican Cavalry;;;;;;;;;;;;;x
RETTYPE_GALLIC;Gallic Warriors;;;;;;;;;;;;;x
RETTYPE_GAELIC_RAIDERS;Gaelic Raiders;;;;;;;;;;;;;x
RETTYPE_CELTIC_WARRIORS;British Swordsmen;;;;;;;;;;;;;x
RETTYPE_ARCHERS_CELTIC;Archers;;;;;;;;;;;;;x
RETTYPE_ARCHERS_GERMANIC;Skirmishers;;;;;;;;;;;;;x
RETTYPE_ALAN;Sarmatian Horsemen;;;;;;;;;;;;;x
RETTYPE_GUARD;Guard;;;;;;;;;;;;;x
RETTYPE_BASQUE;Vasconian Skirmishers;;;;;;;;;;;;;x
RETTYPE_BASQUECAV;Vasconian Cavalry;;;;;;;;;;;;;x
RETTYPE_GERCAVHEAVY;Germanic Noble Cavalry;;;;;;;;;;;;;x
RETTYPE_GERCAVLIGHT;Germanic Lancers;;;;;;;;;;;;;x
RETTYPE_GERINF;Germanic Warband;;;;;;;;;;;;;x
